product_id,image_path,category,color,style,season,sales_count,description,price
SKU001,SKU001.jpg,midi_dress,pink,drawstring,summer,2800,Pink midi length dress with drawstring waist detail and flowing skirt,49.99
SKU002,SKU002.jpg,midi_dress,black,floral,summer,2100,Black floral print midi dress with chiffon fabric and tiered skirt,59.99
SKU003,SKU003.jpg,midi_dress,white,boho,summer,1900,White bohemian style midi dress with embroidery detail,45.99
SKU004,SKU004.jpg,maxi_dress,red,elegant,summer,3200,Red elegant maxi dress with deep V-neck and flowing silhouette,69.99
SKU005,SKU005.jpg,maxi_dress,navy,classic,summer,2400,Navy blue classic maxi dress with halter neck and pleated bodice,54.99
SKU006,SKU006.jpg,maxi_dress,green,boho,spring,1800,Green boho print maxi dress with bell sleeves and tie waist,48.99
SKU007,SKU007.jpg,mini_dress,yellow,casual,summer,1600,Yellow casual mini dress with pocket detail and round neckline,39.99
SKU008,SKU008.jpg,mini_dress,blue,party,summer,2000,Blue party mini dress with sequin top and flared skirt,65.99
SKU009,SKU009.jpg,mini_dress,white,romantic,spring,1700,White romantic mini dress with lace trim and flutter sleeves,42.99
SKU010,SKU010.jpg,top,cream,blouse,all_season,2200,Cream silk blouse with pearl buttons and delicate pleats,35.99
SKU011,SKU011.jpg,top,black,basic,all_season,3500,Black basic cotton top with round neck and short sleeves,25.99
SKU012,SKU012.jpg,top,striped,navy,summer,1900,Navy striped top with boat neck and three quarter sleeves,32.99
SKU013,SKU013.jpg,top,floral,pink,spring,2100,Pink floral print top with v-neckline and ruffle detail,38.99
SKU014,SKU014.jpg,top,white,peasant,summer,1600,White peasant style top with embroidery and relaxed fit,29.99
SKU015,SKU015.jpg,top,red,blouse,all_season,1800,Red blouse with tie neck and button front styling,42.99
SKU016,SKU016.jpg,skirt,denim,blue,all_season,2800,Denim blue skirt with button front and a-line silhouette,45.99
SKU017,SKU017.jpg,skirt,black,pleated,all_season,2200,Black pleated skirt with high waist and flowy drape,38.99
SKU018,SKU018.jpg,skirt,floral,pink,spring,1900,Pink floral skirt with midi length and elastic waist,34.99
SKU019,SKU019.jpg,skirt,white,lace,summer,1700,White lace skirt with lining and scallop edge trim,48.99
SKU020,SKU020.jpg,skirt,navy,pencil,all_season,2000,Navy pencil skirt with back slit and fitted design,41.99
SKU021,SKU021.jpg,pants,white,linen,summer,2300,White linen pants with wide leg and drawstring waist,52.99
SKU022,SKU022.jpg,pants,black,skinny,all_season,3100,Black skinny pants with stretch fabric and ankle length,44.99
SKU023,SKU023.jpg,pants,blue,cropped,summer,1900,Blue cropped pants with tapered leg and side pockets,38.99
SKU024,SKU024.jpg,pants,beige,chino,all_season,2100,Beige chino pants with straight fit and classic design,39.99
SKU025,SKU025.jpg,jumpsuit,green,casual,summer,1800,Green casual jumpsuit with spaghetti straps and tie waist,58.99
SKU026,SKU026.jpg,jumpsuit,black,elegant,all_season,2600,Black elegant jumpsuit with wide leg and sleeveless design,68.99
SKU027,SKU027.jpg,jumpsuit,denim,blue,summer,2000,Denim blue jumpsuit with chest pockets and button front,55.99
SKU028,SKU028.jpg,jumpsuit,white,romantic,spring,1700,White romantic jumpsuit with lace trim and off shoulder,62.99
SKU029,SKU029.jpg,cardigan,cream,knitted,autumn,2400,Cream knitted cardigan with v-neck and long sleeves,48.99
SKU030,SKU030.jpg,cardigan,pink,cropped,spring,1900,Pink cropped cardigan with button front and ribbed trim,42.99
SKU031,SKU031.jpg,cardigan,beige,long,autumn,2100,Beige long cardigan with open front and pockets,52.99
SKU032,SKU032.jpg,cardigan,white,bolero,summer,1600,White bolero style cardigan with short sleeves and fitted design,36.99
SKU033,SKU033.jpg,blazer,black,tailored,all_season,2800,Black tailored blazer with notched lapel and two button closure,75.99
SKU034,SKU034.jpg,blazer,navy,professional,all_season,2200,Navy professional blazer with gold buttons and structured shoulders,68.99
SKU035,SKU035.jpg,blazer,white,casual,summer,1800,White casual blazer with rolled sleeves and relaxed fit,58.99
SKU036,SKU036.jpg,jacket,denim,blue,all_season,2500,Denim blue jacket with classic trucker style and chest pockets,62.99
SKU037,SKU037.jpg,jacket,leather,black,autumn,3200,Black leather jacket with zip front and snap collar,125.99
SKU038,SKU038.jpg,jacket,utility,olive,spring,2000,Olive utility jacket with multiple pockets and drawstring waist,55.99
SKU039,SKU039.jpg,coat,wool,camel,winter,2900,Camel wool coat with belted waist and oversized collar,155.99
SKU040,SKU040.jpg,coat,puffer,black,winter,3500,Black puffer coat with hood and quilted design,135.99
